date, pm25, pm10, o3, no2, so2, co
2023/11/5, 164, 126, 25, 29, 8, 9
2023/11/6, 175, 155, 24, 29, 4, 9
2023/11/7, 166, 123, 26, 30, 10, 10
2023/11/8, 165, 164, 27, 32, 8, 10
2023/11/9, 170, 162, 32, 32, 9, 10
2023/11/10, 175, 130, 45, 32, 10, 10
2023/11/11, 182, 139, 14, 26, 1, 6
2023/11/12, 185, , , , , 
2023/11/20, 168, 99, 22, 17, 3, 7
2023/11/21, 170, , , , , 
2023/11/23, 163, 109, 24, 22, 5, 6
2023/11/24, 167, 150, 5, 36, 3, 7
2023/11/25, 188, 83, 18, 12, 4, 7
2023/11/26, 152, 75, 21, 9, 5, 6
2023/11/27, 144, 37, 28, 8, 9, 6
2023/11/28, 59, 57, 25, 12, 7, 8
2023/11/29, 110, 59, 35, 10, 5, 5
2023/11/30, 105, 74, 36, 14, , 4
2023/12/1, 135, 64, 38, 11, , 2
2023/12/2, 123, 60, 34, 6, , 4
2023/12/3, 106, 59, 37, 4, , 3
2023/12/4, 122, 45, 33, 5, , 3
2023/12/5, 93, 49, 24, 4, , 2
2023/12/6, 83, , , , , 
2023/12/8, 108, 67, 25, 14, , 4
2023/12/9, 142, 81, 25, 20, , 4
2023/12/10, 148, 71, 30, 16, , 3
2023/12/11, 142, 81, 22, 20, , 3
2023/12/12, 157, 85, 29, 19, , 3
2023/12/13, 153, , , , , 
2023/12/15, 122, 73, 36, 10, , 3
2023/12/16, 134, 84, 24, 19, , 4
2023/12/17, 144, 85, 22, 20, , 4
2023/12/18, 144, 80, 15, 12, , 3
2023/12/19, 130, 67, 15, 9, , 2
2023/12/20, 115, 68, 14, 8, , 2
2023/12/21, 134, 88, 14, 16, , 4
2023/12/22, 156, 82, 20, 13, , 3
2023/12/23, 137, 118, 28, 19, , 4
2023/12/24, 172, 93, 29, 15, , 3
2023/12/25, 160, 115, 39, 12, , 4
2023/12/26, 170, 123, 38, 25, , 5
2023/12/27, 176, 112, 37, 25, , 4
2023/12/28, 171, 86, 26, 15, , 3
2023/12/29, 152, 75, 21, 12, , 3
2023/12/30, 118, 70, 15, 10, , 
2023/12/31, 150, 98, 30, 22, , 5
2024/1/1, 157, 95, 29, 17, , 3
2023/7/2, 90, 52, 5, 13, 20, 8
2023/7/3, 75, 64, 19, 15, 11, 11
2023/7/4, 106, 69, 16, 15, 11, 7
2023/7/5, 96, 79, 18, 15, 16, 7
2023/7/6, 114, 58, 11, 14, 12, 7
2023/7/7, 104, 63, 35, 14, 12, 11
