date, pm25, pm10, o3, no2, so2, co
2023/11/2, 135, 54, 51, 15, 5, 8
2023/11/3, 124, 55, 52, 15, 3, 7
2023/11/4, 133, 83, 26, 12, 1, 6
2023/11/5, 152, 72, 41, 13, 3, 7
2023/11/6, 134, 24, 36, 11, 1, 5
2023/11/7, 57, 42, 43, 14, 4, 6
2023/11/8, 84, 31, 24, 8, 3, 6
2023/11/9, 78, 29, 7, 10, 2, 7
2023/11/10, 77, , , , , 
2023/11/14, 159, 56, , 16, 3, 7
2023/11/15, 143, 49, , 12, 2, 6
2023/11/16, 119, 59, , 18, 2, 6
2023/11/17, 114, 81, , 20, 3, 8
2023/11/18, 114, 75, , 23, 3, 9
2023/11/19, 130, 72, , 21, 5, 11
2023/11/20, 130, 68, , 24, 4, 11
2023/11/21, 135, 65, , 21, 7, 10
2023/11/22, 135, 61, , 19, 6, 9
2023/11/23, 134, 68, , 21, 4, 8
2023/11/24, 149, 74, , 18, 3, 5
2023/11/25, 116, 71, , 21, 3, 4
2023/11/26, 137, 64, , 17, 2, 4
2023/11/27, 150, 76, , 22, 4, 10
2023/11/28, 166, 72, , 22, 5, 10
2023/11/29, 158, 72, , 16, 6, 7
2023/11/30, 154, 68, , 15, 3, 4
2023/12/1, 136, 46, , 15, 3, 3
2023/12/2, 90, 62, , 22, 3, 4
2023/12/3, 129, 71, , 24, 3, 6
2023/12/4, 161, 67, , 15, 4, 7
2023/12/5, 160, 50, , 14, 2, 8
2023/12/6, 132, 61, , 22, 4, 7
2023/12/7, 147, 60, , 19, 4, 7
2023/12/8, 130, 63, , 21, 6, 9
2023/12/9, 128, 60, , 15, 6, 7
2023/12/10, 131, 62, , 16, 5, 7
2023/12/11, 146, 18, , 9, 1, 4
2023/12/12, 53, 40, , 7, 2, 4
2023/12/13, 99, 48, , 11, 3, 7
2023/12/14, 122, 56, , 14, 3, 8
2023/12/15, 135, 26, , 9, 2, 7
2023/12/16, 55, 28, , 4, 1, 2
2023/12/17, 70, 43, , 8, 2, 2
2023/12/18, 85, 39, , 8, 1, 3
2023/12/19, 86, 48, , 9, 1, 2
2023/12/20, 119, 48, , 13, 2, 3
2023/12/21, 119, 57, , 9, 2, 3
2023/12/22, 129, 50, , 10, 2, 3
2023/12/23, 103, 59, , 22, 4, 5
2023/12/24, 130, 71, , 26, 3, 7
2023/12/25, 157, 81, , 25, 3, 11
2023/12/26, 156, 72, , 24, 5, 10
2023/12/27, 145, 89, , 27, 4, 11
2023/12/28, 170, 119, , 26, 3, 9
2023/12/29, 208, 153, , 22, 3, 11
2023/12/30, 273, 136, , 20, 3, 16
2023/12/31, 249, 110, , 18, 2, 11
2024/1/1, 210, 83, , 15, 3, 6
2023/7/2, 68, 23, 45, 3, 3, 4
2023/7/3, 64, 18, 39, 1, 2, 3
