date, pm25, pm10, o3, no2, so2, co
2023/11/3, 25, 12, 31, 2, 4, 1
2023/11/4, 22, 36, 25, 3, 4, 1
2023/11/5, 27, 29, 18, 8, 4, 2
2023/11/6, 28, 37, 22, 11, 4, 3
2023/11/7, 30, 26, 16, 7, 4, 2
2023/11/8, 29, 25, 23, 7, 5, 3
2023/11/9, 26, 23, 14, 9, , 3
2023/11/10, 25, , , , , 
2023/11/14, 21, 21, , 7, 4, 2
2023/11/15, 27, 13, , 5, 4, 2
2023/11/16, 29, 29, , 12, 5, 4
2023/11/17, 37, 37, , 14, 5, 4
2023/11/18, 42, 55, , 16, 5, 5
2023/11/19, 65, 67, , 17, 5, 4
2023/11/20, 90, 51, , 15, 4, 4
2023/11/21, 86, 21, , 8, 4, 3
2023/11/22, 46, 12, , 5, 4, 1
2023/11/23, 29, 17, , 7, 5, 2
2023/11/24, 34, 22, , 9, 5, 2
2023/11/25, 32, 32, , 11, 5, 3
2023/11/26, 48, 40, , 11, 4, 3
2023/11/27, 70, 34, , 13, 5, 4
2023/11/28, 46, 35, , 13, 5, 4
2023/11/29, 43, 21, , 8, 4, 3
2023/11/30, 50, 48, , 12, 4, 4
2023/12/1, 75, 49, , 10, 4, 4
2023/12/2, 75, 50, , 7, 4, 4
2023/12/3, 85, 52, , 8, 4, 4
2023/12/4, 99, 39, , 6, 4, 3
2023/12/5, 69, 23, , 8, 4, 2
2023/12/6, 50, 22, , 10, 5, 3
2023/12/7, 42, 19, , 4, 5, 2
2023/12/8, 34, 10, , 2, 5, 1
2023/12/9, 35, 12, , 4, 4, 1
2023/12/10, 38, 14, , 5, 4, 1
2023/12/11, 43, 14, , 6, 4, 2
2023/12/12, 45, 26, , 7, 4, 2
2023/12/13, 52, 34, , 3, 4, 2
2023/12/14, 54, 21, , 3, 4, 2
2023/12/15, 51, 21, , 7, 4, 3
2023/12/16, 55, 28, , 12, 4, 3
2023/12/17, 71, 31, , 11, 4, 2
2023/12/18, 80, 35, , 13, 4, 4
2023/12/19, 89, 45, , 19, 4, 5
2023/12/20, 98, 43, , 16, 4, 4
2023/12/21, 100, 53, , 14, 4, 6
2023/12/22, 136, 68, , 15, 5, 7
2023/12/23, 158, 60, , 21, 4, 7
2023/12/24, 129, 63, , 23, 4, 7
2023/12/25, 144, 77, , 30, 4, 9
2023/12/26, 164, 75, , 32, 5, 11
2023/12/27, 159, 84, , 21, 5, 9
2023/12/28, 168, 81, , 19, 5, 9
2023/12/29, 164, 62, , 16, 5, 7
2023/12/30, 138, 58, , 15, 4, 8
2023/12/31, 146, 42, , 10, 4, 6
2024/1/1, 98, 21, , 7, 4, 4
2023/7/2, 22, 12, 43, 2, 4, 1
2023/7/3, 26, 18, 56, 4, 4, 1
2023/7/4, 27, 19, 44, 3, 4, 1
2023/7/5, 18, 22, 40, 3, 4, 1
2023/7/6, 20, 17, 48, 3, 4, 1
2023/7/7, 20, 11, 50, 2, 4, 1
2023/7/8, 20, 13, 47, 3, 4, 1
2023/7/9, 20, 15, 44, 4, 4, 1
2023/7/10, 21, 12, 45, 1, 4, 1
2023/7/11, 22, 13, 43, 1, 4, 1
2023/7/12, 20, 16, 51, 3, 4, 1
2023/7/13, 21, 25, 50, 8, 4, 1
2023/7/14, 24, 25, 60, 7, 4, 1
2023/7/15, 21, 28, 48, 7, 4, 1
2023/7/16, 26, 31, 43, 1, 4, 1
2023/7/17, 24, 20, 42, 4, 4, 1
2023/7/18, 21, 24, 50, 5, 4, 1
2023/7/19, 26, 27, 52, 6, 4, 1
2023/7/20, 26, 58, 44, 2, 4, 1
2023/7/21, 28, 23, 51, 4, 4, 1
2023/7/22, 24, 23, 45, 4, 4, 1
2023/7/23, 25, 24, 45, 3, 4, 1
2023/7/24, 25, 25, 49, 4, 4, 1
2023/7/25, 22, 21, 50, 4, 4, 1
2023/7/26, 26, 26, 50, 7, 4, 1
2023/7/27, 20, 37, 58, 8, 5, 2
2023/7/28, 29, 31, 45, 1, 4, 1
2023/7/29, 18, 11, 49, 1, 4, 1
2023/7/30, 17, 26, 51, 5, 4, 1
2023/7/31, 24, 17, 52, 4, 4, 1
2023/8/1, 22, 20, 50, 4, 4, 1
2023/8/2, 19, 23, 53, 6, 4, 1
2023/8/3, 21, 20, 47, 6, 4, 2
2023/8/4, 19, 37, 47, 5, 4, 1
2023/8/5, 20, 21, 50, 4, 4, 1
2023/8/6, 20, 25, 49, 6, 4, 2
2023/8/7, 26, 27, 39, 8, 5, 2
2023/8/8, 27, 13, 39, 4, 4, 2
2023/8/9, 21, 21, 38, 8, 4, 2
2023/8/10, 30, 14, 55, 4, 4, 1
2023/8/11, 25, 32, 60, 6, 4, 1
2023/8/12, 19, 20, 44, 4, 4, 1
2023/8/13, 25, 9, 43, 2, 4, 1
2023/8/14, 18, 10, 37, 4, 4, 1
2023/8/15, 21, 12, 36, 4, 5, 1
2023/8/16, 21, 10, 40, 3, 3, 1
2023/8/17, 20, 13, 43, 4, 4, 1
2023/8/18, 26, 19, 46, 6, 4, 1
2023/8/19, 25, 20, 47, 5, 4, 1
2023/8/20, 22, 20, 45, 5, 4, 2
2023/8/21, 25, 22, 44, 7, 4, 1
2023/8/22, 22, 23, 48, 6, 4, 1
2023/8/23, 30, 25, 40, 6, 4, 1
2023/8/24, 23, 28, 44, 8, 4, 2
2023/8/25, 25, 26, 44, 9, 4, 3
2023/8/26, 33, 32, 47, 11, 5, 3
2023/8/27, 32, 33, 49, 7, 5, 1
2023/8/28, 33, 29, 42, 1, 4, 1
2023/8/29, 21, 17, 42, 3, 4, 1
2023/8/30, 21, 19, 39, 4, 4, 1
2023/8/31, 25, 46, 43, 4, 4, 2
